Vendedor;Comprador;Data da Venda;Nome do Produto;Mês;Valor Unitário;Valor Total;Quantidade;Loja;Município da Loja;Categoria do Produto
Elisa Alves;Paulo Martins;26/06/2024;Macarrão;June;33,91;237,37;7;Mercado do Bairro;Várzea Grande;Alimentos
Davi Luiz Silveira;Paulo Monteiro;28/10/2024;Açúcar;October;19,41;135,87;7;Mercado do Bairro;Sinop;Alimentos
Samuel Nascimento;Srta. Emanuella Almeida;09/06/2024;Macarrão;June;31,0;62,0;2;Supermercado Central;Tangará da Serra;Alimentos
Dr. Vitor Gabriel Almeida;Gustavo Henrique Lima;12/12/2024;Petisco;December;35,78;35,78;1;Super Econômico;Sinop;Pet
Samuel Nascimento;Thomas Nunes;04/06/2024;Papel Higiênico;June;11,75;94,0;8;Super Econômico;Várzea Grande;Higiene
João Vitor Moura;Otávio Nunes;16/01/2025;Ração para Cães;January;7,85;7,85;1;Mercado do Bairro;Sinop;Pet
Vitória Martins;Joana Novaes;05/10/2024;Desinfetante;October;19,26;38,52;2;Supermercado Central;Tangará da Serra;Limpeza
Davi Luiz Silveira;Luiza Dias;21/06/2024;Água Sanitária;June;26,9;107,6;4;Mercado do Bairro;Rondonópolis;Limpeza
Dra. Clara da Paz;Luiz Felipe Oliveira;29/08/2024;Sabonete;August;23,11;184,88;8;Supermercado Central;Rondonópolis;Higiene
Juliana Nunes;Pedro Teixeira;15/12/2024;Ração para Gatos;December;3,13;9,39;3;Super Econômico;Rondonópolis;Pet
Elisa Alves;Evelyn Azevedo;18/11/2024;Sabonete;November;2,75;11,0;4;Supermercado Central;Várzea Grande;Higiene
Ryan Azevedo;Eloah Gonçalves;26/02/2025;Esponja;February;20,1;120,6;6;Mercado do Bairro;Sinop;Limpeza
Ana Laura Pereira;Felipe Cardoso;26/10/2024;Esponja;October;40,23;402,3;10;Mercado do Bairro;Rondonópolis;Limpeza
Isabel Melo;Joana Novaes;24/05/2024;Esponja;May;11,88;106,92;9;Super Econômico;Tangará da Serra;Limpeza
Elisa Alves;Thomas Nunes;05/06/2024;Feijão;June;11,81;23,62;2;Atacadão Popular;Várzea Grande;Alimentos
Vitória Martins;Isis Farias;03/07/2024;Detergente;July;20,51;41,02;2;Super Econômico;Várzea Grande;Limpeza
Juliana Nunes;Sra. Esther Silveira;23/12/2024;Creme Dental;December;15,78;94,68;6;Supermercado Central;Sinop;Higiene
Elisa Alves;Henrique Peixoto;21/05/2024;Desinfetante;May;36,88;258,16;7;Super Econômico;Várzea Grande;Limpeza
Dra. Clara da Paz;Luiz Gustavo Nascimento;29/11/2024;Óleo;November;6,69;53,52;8;Mercado do Bairro;Cuiabá;Alimentos
Davi Luiz Silveira;Theo Rezende;25/06/2024;Feijão;June;37,18;223,08;6;Atacadão Popular;Sinop;Alimentos
Davi Luiz Silveira;Davi Luiz Gonçalves;24/07/2024;Macarrão;July;2,55;7,65;3;Supermercado Central;Cuiabá;Alimentos
Ryan Azevedo;Srta. Emanuella Almeida;29/01/2025;Feijão;January;46,09;414,81;9;Atacadão Popular;Sinop;Alimentos
Ryan Azevedo;Calebe Mendes;29/03/2025;Detergente;March;13,68;41,04;3;Super Econômico;Várzea Grande;Limpeza
Samuel Nascimento;Maria Sophia Pinto;08/08/2024;Feijão;August;33,06;198,36;6;Supermercado Central;Sinop;Alimentos
Elisa Alves;Luna Almeida;13/05/2024;Desinfetante;May;35,07;245,49;7;Atacadão Popular;Várzea Grande;Limpeza
João Lucas Correia;Ana Carolina Nascimento;11/01/2025;Suco;January;20,0;60,0;3;Atacadão Popular;Rondonópolis;Bebidas
Milena Pires;Evelyn Azevedo;26/02/2025;Papel Higiênico;February;23,62;47,24;2;Mercado do Bairro;Várzea Grande;Higiene
Isabel Melo;Luiz Otávio Peixoto;01/07/2024;Desinfetante;July;34,54;138,16;4;Atacadão Popular;Cuiabá;Limpeza
Ana Laura Pereira;Dra. Melissa Almeida;02/11/2024;Sabão em Pó;November;8,12;48,72;6;Mercado do Bairro;Tangará da Serra;Limpeza
Juliana Nunes;Theo Rezende;09/01/2025;Papel Higiênico;January;17,14;68,56;4;Supermercado Central;Sinop;Higiene
Luna das Neves;Pedro Henrique Ramos;27/10/2024;Arroz;October;36,84;73,68;2;Mercado do Bairro;Várzea Grande;Alimentos
Juliana Nunes;Isis Farias;03/03/2025;Água Mineral;March;14,56;145,6;10;Super Econômico;Várzea Grande;Bebidas
Davi Luiz Silveira;Beatriz Moraes;22/11/2024;Detergente;November;30,66;61,32;2;Super Econômico;Cuiabá;Limpeza
Milena Pires;Pedro Henrique Ramos;19/09/2024;Shampoo;September;44,71;447,1;10;Mercado do Bairro;Tangará da Serra;Higiene
Milena Pires;Luna Almeida;08/03/2025;Papel Higiênico;March;16,21;16,21;1;Supermercado Central;Rondonópolis;Higiene
Luna das Neves;Raul Correia;12/03/2025;Ração para Cães;March;14,69;73,45;5;Mercado do Bairro;Várzea Grande;Pet
Giovanna Alves;Maria Clara da Rosa;30/03/2025;Desinfetante;March;5,58;44,64;8;Mercado do Bairro;Tangará da Serra;Limpeza
João Lucas Correia;Srta. Emanuella Almeida;11/10/2024;Detergente;October;22,83;136,98;6;Supermercado Central;Rondonópolis;Limpeza
Giovanna Alves;Ana Sophia Viana;18/10/2024;Água Sanitária;October;44,99;179,96;4;Supermercado Central;Tangará da Serra;Limpeza
Dra. Clara da Paz;Sr. Thomas Porto;07/06/2024;Petisco;June;20,61;20,61;1;Mercado do Bairro;Cuiabá;Pet
Samuel Nascimento;Ana Clara da Cunha;07/11/2024;Shampoo;November;10,29;41,16;4;Mercado do Bairro;Rondonópolis;Higiene
Davi Luiz Silveira;Manuela Lima;06/07/2024;Óleo;July;30,84;92,52;3;Atacadão Popular;Várzea Grande;Alimentos
Giovanna Alves;Sra. Agatha Jesus;27/06/2024;Macarrão;June;21,38;106,9;5;Supermercado Central;Rondonópolis;Alimentos
Luna das Neves;Nina Almeida;04/09/2024;Areia Higiênica;September;22,59;225,9;10;Supermercado Central;Sinop;Pet
Vitória Martins;Beatriz da Rosa;29/09/2024;Ração para Cães;September;38,92;77,84;2;Super Econômico;Tangará da Serra;Pet
Milena Pires;Stephany Costela;21/07/2024;Feijão;July;43,49;173,96;4;Mercado do Bairro;Rondonópolis;Alimentos
Ryan Azevedo;Ryan da Rocha;14/12/2024;Açúcar;December;20,29;40,58;2;Mercado do Bairro;Rondonópolis;Alimentos
Isabel Melo;Clarice da Conceição;06/09/2024;Desodorante;September;23,09;46,18;2;Super Econômico;Rondonópolis;Higiene
João Lucas Correia;Luiz Felipe Freitas;14/06/2024;Detergente;June;16,39;98,34;6;Super Econômico;Cuiabá;Limpeza
Ryan Azevedo;Beatriz da Rosa;23/08/2024;Água Sanitária;August;31,15;249,2;8;Atacadão Popular;Cuiabá;Limpeza
Rafaela Cunha;Henrique Peixoto;29/05/2024;Shampoo Pet;May;22,24;22,24;1;Atacadão Popular;Rondonópolis;Pet
Samuel Nascimento;Joana Campos;13/12/2024;Sabão em Pó;December;31,94;223,58;7;Supermercado Central;Rondonópolis;Limpeza
Isabel Melo;Luiza Dias;25/07/2024;Sabão em Pó;July;29,04;116,16;4;Mercado do Bairro;Sinop;Limpeza
Bárbara Ribeiro;João Rocha;03/04/2025;Açúcar;April;25,2;100,8;4;Mercado do Bairro;Várzea Grande;Alimentos
Dr. Vitor Gabriel Almeida;Julia Viana;28/05/2024;Desinfetante;May;49,68;496,8;10;Atacadão Popular;Sinop;Limpeza
Juliana Nunes;Thomas Nunes;08/01/2025;Óleo;January;23,83;71,49;3;Atacadão Popular;Cuiabá;Alimentos
Vitória Martins;Bernardo Cardoso;27/12/2024;Refrigerante;December;10,02;90,18;9;Mercado do Bairro;Tangará da Serra;Bebidas
Vitória Martins;Maria Clara da Rosa;04/05/2024;Suco;May;40,6;324,8;8;Atacadão Popular;Tangará da Serra;Bebidas
Dr. Vitor Gabriel Almeida;Bernardo Cardoso;28/12/2024;Areia Higiênica;December;45,83;91,66;2;Supermercado Central;Rondonópolis;Pet
Ana Clara Barros;Sra. Agatha Jesus;20/11/2024;Creme Dental;November;37,21;111,63;3;Super Econômico;Sinop;Higiene
Giovanna Alves;Pedro Henrique Ramos;30/06/2024;Papel Higiênico;June;33,88;169,4;5;Super Econômico;Rondonópolis;Higiene
Ana Laura Pereira;Evelyn Sales;02/01/2025;Refrigerante;January;49,93;349,51;7;Mercado do Bairro;Tangará da Serra;Bebidas
Vitória Martins;Bernardo Cardoso;06/02/2025;Ração para Gatos;February;29,76;297,6;10;Supermercado Central;Sinop;Pet
Ana Clara Barros;Rafaela Ramos;14/09/2024;Arroz;September;44,36;88,72;2;Mercado do Bairro;Sinop;Alimentos
Dr. Vitor Gabriel Almeida;João Vitor Rezende;05/06/2024;Água Sanitária;June;15,64;140,76;9;Super Econômico;Sinop;Limpeza
Dr. Vitor Gabriel Almeida;Dr. Lorenzo Teixeira;26/10/2024;Sabonete;October;24,32;218,88;9;Super Econômico;Várzea Grande;Higiene
Rafaela Cunha;Raul Silveira;11/06/2024;Cerveja;June;2,07;16,56;8;Supermercado Central;Rondonópolis;Bebidas
Isabel Melo;André Freitas;31/07/2024;Papel Higiênico;July;12,69;50,76;4;Super Econômico;Várzea Grande;Higiene
Ana Clara Barros;Eduardo Mendes;07/07/2024;Óleo;July;49,42;148,26;3;Mercado do Bairro;Tangará da Serra;Alimentos
Ana Laura Pereira;Ana Sophia Viana;13/11/2024;Esponja;November;31,84;222,88;7;Atacadão Popular;Sinop;Limpeza
Davi Luiz Silveira;Sr. Thomas Porto;05/03/2025;Creme Dental;March;6,27;50,16;8;Super Econômico;Sinop;Higiene
João Vitor Moura;Clarice da Conceição;30/09/2024;Macarrão;September;4,2;21,0;5;Super Econômico;Rondonópolis;Alimentos
Vitória Martins;Sabrina Pires;21/09/2024;Detergente;September;19,87;178,83;9;Mercado do Bairro;Tangará da Serra;Limpeza
Dra. Lívia Gonçalves;Rafaela Ramos;08/12/2024;Suco;December;22,45;134,7;6;Mercado do Bairro;Rondonópolis;Bebidas
Rafaela Cunha;Sr. Otávio Souza;10/09/2024;Sabonete;September;24,97;224,73;9;Super Econômico;Rondonópolis;Higiene
Juliana Nunes;Sra. Catarina Almeida;20/12/2024;Arroz;December;46,79;233,95;5;Super Econômico;Sinop;Alimentos
Dr. Vitor Gabriel Almeida;Ana Laura Ramos;31/12/2024;Suco;December;3,9;3,9;1;Mercado do Bairro;Rondonópolis;Bebidas
Luna das Neves;Calebe Mendes;27/07/2024;Esponja;July;38,52;77,04;2;Super Econômico;Várzea Grande;Limpeza
Vitória Martins;Dra. Melissa Almeida;18/08/2024;Suco;August;31,71;285,39;9;Atacadão Popular;Cuiabá;Bebidas
Vitória Martins;Luiz Gustavo Nascimento;04/02/2025;Papel Higiênico;February;34,06;34,06;1;Supermercado Central;Sinop;Higiene
João Vitor Moura;Srta. Emanuella Almeida;11/10/2024;Macarrão;October;6,66;46,62;7;Mercado do Bairro;Sinop;Alimentos
Bárbara Ribeiro;Dra. Melissa Almeida;09/11/2024;Suco;November;29,84;89,52;3;Supermercado Central;Várzea Grande;Bebidas
Vitória Martins;Luiza Dias;20/01/2025;Cerveja;January;29,45;29,45;1;Atacadão Popular;Cuiabá;Bebidas
Rafaela Cunha;Srta. Emanuella Almeida;09/09/2024;Desinfetante;September;17,83;106,98;6;Super Econômico;Tangará da Serra;Limpeza
Dr. Vitor Gabriel Almeida;Rafaela Ramos;16/06/2024;Detergente;June;18,02;144,16;8;Mercado do Bairro;Rondonópolis;Limpeza
Ana Clara Barros;Julia Viana;20/04/2025;Ração para Gatos;April;21,1;21,1;1;Super Econômico;Sinop;Pet
Ana Clara Barros;Luna Almeida;12/05/2024;Óleo;May;18,03;162,27;9;Atacadão Popular;Cuiabá;Alimentos
Elisa Alves;Sra. Agatha Jesus;07/09/2024;Suco;September;45,15;225,75;5;Super Econômico;Cuiabá;Bebidas
João Vitor Moura;Ana Clara da Cunha;03/12/2024;Açúcar;December;15,23;91,38;6;Super Econômico;Várzea Grande;Alimentos
Ana Clara Barros;Lívia Pinto;07/06/2024;Areia Higiênica;June;7,23;28,92;4;Mercado do Bairro;Sinop;Pet
Sr. Pietro Moraes;Stephany Costela;21/05/2024;Papel Higiênico;May;41,4;207,0;5;Atacadão Popular;Tangará da Serra;Higiene
Giovanna Alves;Otávio Nunes;16/07/2024;Cerveja;July;38,86;194,3;5;Mercado do Bairro;Várzea Grande;Bebidas
Ana Clara Barros;Evelyn Azevedo;03/06/2024;Desodorante;June;38,65;309,2;8;Supermercado Central;Cuiabá;Higiene
João Lucas Correia;Clarice da Conceição;29/12/2024;Desinfetante;December;45,43;408,87;9;Supermercado Central;Cuiabá;Limpeza
Sr. Pietro Moraes;Clarice da Conceição;26/11/2024;Areia Higiênica;November;41,38;82,76;2;Super Econômico;Várzea Grande;Pet
Milena Pires;Lara Gonçalves;25/09/2024;Óleo;September;48,49;145,47;3;Mercado do Bairro;Tangará da Serra;Alimentos
Vitória Martins;Gustavo Henrique Lima;13/12/2024;Shampoo;December;29,1;58,2;2;Atacadão Popular;Cuiabá;Higiene
Sr. Pietro Moraes;Paulo Cardoso;30/08/2024;Papel Higiênico;August;14,03;112,24;8;Mercado do Bairro;Rondonópolis;Higiene
Juliana Nunes;Ana Lívia Farias;26/03/2025;Areia Higiênica;March;39,07;351,63;9;Super Econômico;Sinop;Pet
Dr. Vitor Gabriel Almeida;Laura Novaes;21/05/2024;Arroz;May;40,59;284,13;7;Supermercado Central;Várzea Grande;Alimentos
Ana Clara Barros;Dr. Davi Duarte;16/02/2025;Cerveja;February;10,39;41,56;4;Mercado do Bairro;Sinop;Bebidas
Dra. Lívia Gonçalves;Ana Clara da Cunha;03/12/2024;Óleo;December;13,41;26,82;2;Atacadão Popular;Rondonópolis;Alimentos
Ana Laura Pereira;Gabrielly Farias;14/05/2024;Ração para Gatos;May;34,92;139,68;4;Supermercado Central;Rondonópolis;Pet
João Vitor Moura;Manuela Lima;18/12/2024;Detergente;December;11,39;91,12;8;Supermercado Central;Várzea Grande;Limpeza
Dr. Vitor Gabriel Almeida;Paulo Monteiro;26/06/2024;Refrigerante;June;31,03;310,3;10;Super Econômico;Cuiabá;Bebidas
Isabel Melo;Dra. Melissa Almeida;27/04/2024;Macarrão;April;27,8;166,8;6;Super Econômico;Várzea Grande;Alimentos
Ana Clara Barros;Dra. Melissa Almeida;21/11/2024;Refrigerante;November;23,38;116,9;5;Supermercado Central;Tangará da Serra;Bebidas
Juliana Nunes;Luiz Felipe Oliveira;26/06/2024;Papel Higiênico;June;46,2;184,8;4;Mercado do Bairro;Rondonópolis;Higiene
Dr. Vitor Gabriel Almeida;Ryan da Rocha;23/06/2024;Açúcar;June;32,97;263,76;8;Supermercado Central;Rondonópolis;Alimentos
Milena Pires;Srta. Amanda Pinto;01/07/2024;Shampoo Pet;July;28,6;143,0;5;Supermercado Central;Cuiabá;Pet
Ana Laura Pereira;Isabelly Porto;10/05/2024;Cerveja;May;12,7;114,3;9;Super Econômico;Cuiabá;Bebidas
Ana Clara Barros;Luiz Felipe Freitas;12/09/2024;Suco;September;38,91;77,82;2;Super Econômico;Cuiabá;Bebidas
Davi Luiz Silveira;Alana Novaes;25/06/2024;Desinfetante;June;3,76;37,6;10;Atacadão Popular;Tangará da Serra;Limpeza
Elisa Alves;Luiz Felipe Freitas;31/05/2024;Papel Higiênico;May;37,57;112,71;3;Mercado do Bairro;Rondonópolis;Higiene
Elisa Alves;Henrique Peixoto;25/11/2024;Petisco;November;17,38;34,76;2;Super Econômico;Tangará da Serra;Pet
Milena Pires;Leonardo Moreira;29/06/2024;Areia Higiênica;June;45,79;274,74;6;Mercado do Bairro;Sinop;Pet
Elisa Alves;Calebe Mendes;25/06/2024;Refrigerante;June;47,91;431,19;9;Atacadão Popular;Sinop;Bebidas
João Lucas Correia;Nina Almeida;11/07/2024;Desodorante;July;29,74;237,92;8;Super Econômico;Rondonópolis;Higiene
Ana Laura Pereira;Dra. Isadora da Luz;19/02/2025;Cerveja;February;21,6;194,4;9;Supermercado Central;Rondonópolis;Bebidas
Juliana Nunes;Joana Campos;11/04/2025;Desodorante;April;17,95;143,6;8;Mercado do Bairro;Cuiabá;Higiene
João Vitor Moura;Vitor Hugo Barbosa;20/12/2024;Areia Higiênica;December;20,62;82,48;4;Super Econômico;Várzea Grande;Pet
Dra. Lívia Gonçalves;João Vitor Rezende;20/10/2024;Vinho;October;42,62;298,34;7;Super Econômico;Várzea Grande;Bebidas
Isabel Melo;Sr. Gustavo Mendes;18/09/2024;Desodorante;September;27,87;139,35;5;Atacadão Popular;Rondonópolis;Higiene
João Vitor Moura;Manuela Lima;06/03/2025;Sabonete;March;13,39;107,12;8;Supermercado Central;Tangará da Serra;Higiene
Giovanna Alves;Sra. Esther Silveira;20/01/2025;Água Sanitária;January;38,75;232,5;6;Mercado do Bairro;Rondonópolis;Limpeza
Isabel Melo;Thomas Nunes;30/07/2024;Sabão em Pó;July;22,12;66,36;3;Supermercado Central;Tangará da Serra;Limpeza
Samuel Nascimento;Lívia Pinto;22/11/2024;Água Sanitária;November;41,35;289,45;7;Atacadão Popular;Sinop;Limpeza
Isabel Melo;Pedro Teixeira;29/11/2024;Suco;November;2,92;23,36;8;Mercado do Bairro;Rondonópolis;Bebidas
Milena Pires;Pedro Teixeira;08/05/2024;Cerveja;May;44,41;177,64;4;Super Econômico;Cuiabá;Bebidas
Samuel Nascimento;Joana Novaes;16/11/2024;Ração para Cães;November;8,11;56,77;7;Super Econômico;Cuiabá;Pet
Elisa Alves;Nina Almeida;29/05/2024;Sabão em Pó;May;10,54;94,86;9;Mercado do Bairro;Sinop;Limpeza
Juliana Nunes;Pedro Henrique Ramos;02/08/2024;Água Sanitária;August;26,97;242,73;9;Atacadão Popular;Sinop;Limpeza
Dra. Lívia Gonçalves;Luiz Felipe Oliveira;19/12/2024;Açúcar;December;43,64;130,92;3;Super Econômico;Tangará da Serra;Alimentos
Ana Laura Pereira;Thomas Nunes;03/07/2024;Areia Higiênica;July;18,68;74,72;4;Supermercado Central;Cuiabá;Pet
Luna das Neves;Enzo Gabriel Fogaça;20/02/2025;Shampoo;February;48,54;48,54;1;Mercado do Bairro;Rondonópolis;Higiene
Giovanna Alves;Bianca Duarte;09/04/2025;Ração para Cães;April;11,87;83,09;7;Mercado do Bairro;Várzea Grande;Pet
Isabel Melo;Benício Rodrigues;01/12/2024;Detergente;December;26,05;260,5;10;Super Econômico;Rondonópolis;Limpeza
Dr. Vitor Gabriel Almeida;Isis Farias;07/01/2025;Cerveja;January;26,03;52,06;2;Super Econômico;Rondonópolis;Bebidas
Samuel Nascimento;Daniel Martins;07/12/2024;Areia Higiênica;December;18,33;36,66;2;Mercado do Bairro;Cuiabá;Pet
Luna das Neves;Vitor Hugo Barbosa;20/09/2024;Petisco;September;33,73;337,3;10;Super Econômico;Tangará da Serra;Pet
Ryan Azevedo;Alana Novaes;08/01/2025;Creme Dental;January;49,83;298,98;6;Atacadão Popular;Sinop;Higiene
Dr. Vitor Gabriel Almeida;Pietra da Rocha;03/06/2024;Shampoo Pet;June;42,02;294,14;7;Atacadão Popular;Sinop;Pet
Ana Clara Barros;Ana Lívia Farias;17/06/2024;Suco;June;48,74;243,7;5;Super Econômico;Rondonópolis;Bebidas
Isabel Melo;Henrique Peixoto;20/10/2024;Ração para Gatos;October;17,03;17,03;1;Atacadão Popular;Sinop;Pet
Ana Clara Barros;Clarice da Mata;15/05/2024;Refrigerante;May;16,81;100,86;6;Supermercado Central;Várzea Grande;Bebidas
Vitória Martins;Pietra da Rocha;15/05/2024;Refrigerante;May;38,15;76,3;2;Supermercado Central;Tangará da Serra;Bebidas
Rafaela Cunha;Rafaela Ramos;16/01/2025;Cerveja;January;32,03;320,3;10;Supermercado Central;Sinop;Bebidas
Samuel Nascimento;Sr. Thomas Porto;05/05/2024;Macarrão;May;29,32;117,28;4;Atacadão Popular;Cuiabá;Alimentos
Rafaela Cunha;Bianca Duarte;16/08/2024;Óleo;August;23,99;95,96;4;Supermercado Central;Cuiabá;Alimentos
Giovanna Alves;Nina Costa;18/04/2025;Vinho;April;26,32;263,2;10;Atacadão Popular;Rondonópolis;Bebidas
Bárbara Ribeiro;Rafaela Ramos;18/10/2024;Óleo;October;18,17;181,7;10;Mercado do Bairro;Tangará da Serra;Alimentos
Dra. Clara da Paz;Gabrielly Correia;05/01/2025;Ração para Cães;January;20,19;80,76;4;Super Econômico;Sinop;Pet
Vitória Martins;Sra. Esther Silveira;25/03/2025;Ração para Gatos;March;34,97;139,88;4;Atacadão Popular;Rondonópolis;Pet
Milena Pires;Clarice da Mata;17/07/2024;Petisco;July;35,29;211,74;6;Atacadão Popular;Cuiabá;Pet
Ryan Azevedo;Gustavo Henrique Lima;02/07/2024;Sabonete;July;42,41;381,69;9;Supermercado Central;Cuiabá;Higiene
Vitória Martins;Srta. Mariane Moraes;22/05/2024;Feijão;May;3,76;26,32;7;Atacadão Popular;Rondonópolis;Alimentos
Dra. Clara da Paz;Sra. Agatha Jesus;11/08/2024;Suco;August;7,97;79,7;10;Super Econômico;Tangará da Serra;Bebidas
Elisa Alves;Fernanda Aragão;28/09/2024;Feijão;September;46,19;184,76;4;Mercado do Bairro;Cuiabá;Alimentos
Milena Pires;Theo Rezende;02/11/2024;Suco;November;36,27;290,16;8;Super Econômico;Rondonópolis;Bebidas
Ryan Azevedo;Alana Novaes;15/06/2024;Sabão em Pó;June;18,97;151,76;8;Atacadão Popular;Tangará da Serra;Limpeza
Giovanna Alves;Paulo Cardoso;14/06/2024;Arroz;June;37,36;298,88;8;Super Econômico;Rondonópolis;Alimentos
Ryan Azevedo;Luiz Gustavo Nascimento;04/02/2025;Detergente;February;29,17;175,02;6;Mercado do Bairro;Sinop;Limpeza
João Lucas Correia;Marina da Conceição;11/07/2024;Água Mineral;July;49,03;490,3;10;Supermercado Central;Várzea Grande;Bebidas
Dra. Lívia Gonçalves;Eloah Gonçalves;04/04/2025;Açúcar;April;49,53;247,65;5;Mercado do Bairro;Tangará da Serra;Alimentos
Ryan Azevedo;Otávio Nunes;27/04/2024;Sabonete;April;18,27;91,35;5;Mercado do Bairro;Várzea Grande;Higiene
Ana Laura Pereira;Paulo Monteiro;14/05/2024;Suco;May;13,66;95,62;7;Atacadão Popular;Sinop;Bebidas
Davi Luiz Silveira;Lara Gonçalves;06/11/2024;Shampoo Pet;November;45,55;227,75;5;Super Econômico;Cuiabá;Pet
Ryan Azevedo;Beatriz da Rosa;09/12/2024;Água Sanitária;December;26,15;52,3;2;Mercado do Bairro;Rondonópolis;Limpeza
Giovanna Alves;Nicolas Cunha;06/09/2024;Ração para Cães;September;32,15;321,5;10;Supermercado Central;Sinop;Pet
Giovanna Alves;Nina Costa;25/11/2024;Ração para Cães;November;25,2;75,6;3;Supermercado Central;Sinop;Pet
Davi Luiz Silveira;Thomas Teixeira;20/01/2025;Esponja;January;11,75;94,0;8;Mercado do Bairro;Cuiabá;Limpeza
Vitória Martins;Raul Silveira;23/04/2024;Esponja;April;47,27;283,62;6;Atacadão Popular;Sinop;Limpeza
Sr. Pietro Moraes;Lívia Pinto;29/11/2024;Refrigerante;November;5,45;21,8;4;Mercado do Bairro;Várzea Grande;Bebidas
Dra. Clara da Paz;Joana Campos;06/08/2024;Desodorante;August;33,35;66,7;2;Supermercado Central;Cuiabá;Higiene
Sr. Pietro Moraes;Julia Viana;24/06/2024;Detergente;June;4,02;8,04;2;Atacadão Popular;Cuiabá;Limpeza
Sr. Pietro Moraes;Arthur Viana;26/09/2024;Açúcar;September;33,4;167,0;5;Super Econômico;Várzea Grande;Alimentos
Ana Laura Pereira;Srta. Amanda Pinto;10/04/2025;Arroz;April;42,41;127,23;3;Super Econômico;Rondonópolis;Alimentos
Vitória Martins;Emilly Moura;30/03/2025;Água Sanitária;March;25,39;152,34;6;Super Econômico;Cuiabá;Limpeza
João Vitor Moura;Luna Almeida;04/05/2024;Macarrão;May;46,88;328,16;7;Supermercado Central;Rondonópolis;Alimentos
Juliana Nunes;Marina da Conceição;08/01/2025;Shampoo;January;48,12;240,6;5;Supermercado Central;Tangará da Serra;Higiene
Luna das Neves;Paulo Monteiro;09/01/2025;Óleo;January;43,65;392,85;9;Mercado do Bairro;Várzea Grande;Alimentos
Dra. Clara da Paz;Pedro Teixeira;16/03/2025;Creme Dental;March;16,52;82,6;5;Mercado do Bairro;Várzea Grande;Higiene
Vitória Martins;Isabelly Porto;23/03/2025;Shampoo;March;37,17;297,36;8;Atacadão Popular;Tangará da Serra;Higiene
Dra. Clara da Paz;Stephany Costela;05/01/2025;Açúcar;January;40,21;361,89;9;Mercado do Bairro;Várzea Grande;Alimentos
Ana Laura Pereira;Enzo Gabriel Fogaça;28/02/2025;Ração para Cães;February;31,58;221,06;7;Super Econômico;Várzea Grande;Pet
Giovanna Alves;Henrique Peixoto;25/04/2024;Sabão em Pó;April;29,5;29,5;1;Super Econômico;Rondonópolis;Limpeza
Dra. Lívia Gonçalves;Sr. Otávio Souza;20/04/2025;Ração para Gatos;April;28,43;284,3;10;Mercado do Bairro;Várzea Grande;Pet
Vitória Martins;Daniel Martins;06/10/2024;Refrigerante;October;9,25;9,25;1;Super Econômico;Sinop;Bebidas
Dra. Clara da Paz;Igor Gonçalves;22/01/2025;Açúcar;January;31,66;189,96;6;Supermercado Central;Tangará da Serra;Alimentos
Ryan Azevedo;Lara Gonçalves;26/01/2025;Água Sanitária;January;43,1;258,6;6;Mercado do Bairro;Tangará da Serra;Limpeza
Dra. Clara da Paz;Fernanda Aragão;02/08/2024;Ração para Gatos;August;40,12;40,12;1;Super Econômico;Cuiabá;Pet
Vitória Martins;Vitor Hugo Barbosa;27/10/2024;Papel Higiênico;October;18,52;111,12;6;Super Econômico;Tangará da Serra;Higiene
Sr. Pietro Moraes;Eduardo Peixoto;27/08/2024;Desodorante;August;47,76;286,56;6;Mercado do Bairro;Cuiabá;Higiene
Sr. Pietro Moraes;Henrique Azevedo;13/07/2024;Desinfetante;July;30,67;214,69;7;Super Econômico;Tangará da Serra;Limpeza
Ana Clara Barros;Ana Lívia Farias;03/02/2025;Arroz;February;47,19;330,33;7;Supermercado Central;Várzea Grande;Alimentos
Bárbara Ribeiro;Paulo Cardoso;03/04/2025;Ração para Cães;April;39,52;158,08;4;Supermercado Central;Várzea Grande;Pet
Elisa Alves;Beatriz da Rosa;08/03/2025;Creme Dental;March;35,86;251,02;7;Super Econômico;Sinop;Higiene
Dra. Clara da Paz;Beatriz Moraes;09/05/2024;Desinfetante;May;2,58;25,8;10;Super Econômico;Cuiabá;Limpeza
Samuel Nascimento;Calebe Mendes;19/10/2024;Papel Higiênico;October;37,55;75,1;2;Supermercado Central;Rondonópolis;Higiene
Davi Luiz Silveira;Sophie Nascimento;22/09/2024;Areia Higiênica;September;11,79;11,79;1;Atacadão Popular;Várzea Grande;Pet
Juliana Nunes;Maria Sophia Pinto;23/01/2025;Óleo;January;38,84;38,84;1;Atacadão Popular;Cuiabá;Alimentos
Dra. Lívia Gonçalves;Paulo Monteiro;16/11/2024;Refrigerante;November;2,75;2,75;1;Supermercado Central;Rondonópolis;Bebidas
Bárbara Ribeiro;Beatriz Moraes;28/07/2024;Ração para Gatos;July;29,49;147,45;5;Atacadão Popular;Rondonópolis;Pet
Ana Clara Barros;Raul Correia;02/12/2024;Esponja;December;20,85;62,55;3;Super Econômico;Cuiabá;Limpeza
Ryan Azevedo;Maria Cecília Cunha;20/02/2025;Sabonete;February;32,76;65,52;2;Supermercado Central;Várzea Grande;Higiene
Bárbara Ribeiro;Camila Farias;28/05/2024;Macarrão;May;22,31;111,55;5;Mercado do Bairro;Tangará da Serra;Alimentos
